Activity,Formulation,AppEquip,AppType,Category,AppRateUnit,TreatedVal,TreatedUnit,DUESLNoG,DUESLG,DUEDLG,DUESLGCRH,DUEDLGCRH,DUEEC,IUENoR,IUEPF5R,IUEPF10R,IUEEC,SourceCategory,SourceMRID,SourceDescription,SourceDER
M/L,DF/WDG,Aerial,Broadcast,"Nursery (ornamentals, vegetables, trees, container stock)",lb ai/acre,60,acres,227,51.6,41.2,No Data,No Data,9.8,8.96,1.792,0.896,0.24,AHETF / PHED,47947801 / NA,"Klonne, 1999 (AHE1001; M/L Dry Flowable) / PHED Scenario 5",D373605 / NA
M/L,DF/WDG,Aerial,Broadcast,Orchard/Vineyard,lb ai/acre,350,acres,227,51.6,41.2,No Data,No Data,9.8,8.96,1.792,0.896,0.24,AHETF / PHED,47947801 / NA,"Klonne, 1999 (AHE1001; M/L Dry Flowable) / PHED Scenario 5",D373605 / NA
M/L,DF/WDG,Aerial,Broadcast,Sod,lb ai/acre,350,acres,227,51.6,41.2,No Data,No Data,9.8,8.96,1.792,0.896,0.24,AHETF / PHED,47947801 / NA,"Klonne, 1999 (AHE1001; M/L Dry Flowable) / PHED Scenario 5",D373605 / NA
M/L,DF/WDG,Aerial,Broadcast,"Field crop, typical",lb ai/acre,350,acres,227,51.6,41.2,No Data,No Data,9.8,8.96,1.792,0.896,0.24,AHETF / PHED,47947801 / NA,"Klonne, 1999 (AHE1001; M/L Dry Flowable) / PHED Scenario 5",D373605 / NA
M/L,DF/WDG,Aerial,Broadcast,Mosquitocide/larvacide/vector control (aquatic areas) ,lb ai/acre,250,acres,227,51.6,41.2,No Data,No Data,9.8,8.96,1.792,0.896,0.24,AHETF / PHED,47947801 / NA,"Klonne, 1999 (AHE1001; M/L Dry Flowable) / PHED Scenario 5",D373605 / NA
M/L,DF/WDG,Aerial,Broadcast,"Aquatic areas, non-flowing water (e.g., ponds, lakes, fountains)",lb ai/acre-foot,210,acre-feet,227,51.6,41.2,No Data,No Data,9.8,8.96,1.792,0.896,0.24,AHETF / PHED,47947801 / NA,"Klonne, 1999 (AHE1001; M/L Dry Flowable) / PHED Scenario 5",D373605 / NA
M/L,DF/WDG,Impregnation,Commercial treatment,"Fertilizer, dry bulk, impregnated",lb ai/ton,960,tons,No Data,No Data,No Data,No Data,No Data,9.8,No Data,No Data,No Data,0.24,AHETF / PHED,47947801 / NA,"Klonne, 1999 (AHE1001; M/L Dry Flowable) / PHED Scenario 5",D373605 / NA
M/L,DF/WDG,Impregnation,On-farm treatment,"Fertilizer, dry bulk, impregnated",lb ai/acre,160,acres,227,51.6,41.2,No Data,No Data,9.8,8.96,1.792,0.896,0.24,AHETF / PHED,47947801 / NA,"Klonne, 1999 (AHE1001; M/L Dry Flowable) / PHED Scenario 5",D373605 / NA
M/L,WSP,Backpack,Broadcast,"Rights-of-way (e.g., utilities, railroad, roadways)",lb ai/gallon,1000,gallons,No Data,No Data,No Data,No Data,No Data,9.8,No Data,No Data,No Data,0.24,PHED,NA,PHED Scenario 5,NA
M/L,WSP,Mechanically-pressurized Handgun,Broadcast,"Rights-of-way (e.g., utilities, railroad, roadways)",lb ai/gallon,1000,gallons,No Data,No Data,No Data,No Data,No Data,9.8,No Data,No Data,No Data,0.24,PHED,NA,PHED Scenario 5,NA
M/L,WSP,Dip (swim vat),Broadcast,"Animal (direct), livestock",lb ai/gallon,,gallons,No Data,No Data,No Data,No Data,No Data,9.8,No Data,No Data,No Data,0.24,PHED,NA,PHED Scenario 5,NA
M/L,WP,Backpack,Broadcast,"Rights-of-way (e.g., utilities, railroad, roadways)",lb ai/gallon,1000,gallons,3700,170,130,No Data,No Data,9.8,43,8.6,4.3,0.24,PHED,NA,PHED Scenario 4 / PHED Scenario 5,NA
M/L,WP,Mechanically-pressurized Handgun,Broadcast,"Rights-of-way (e.g., utilities, railroad, roadways)",lb ai/gallon,1000,gallons,3700,170,130,No Data,No Data,9.8,43,8.6,4.3,0.24,PHED,NA,PHED Scenario 4 / PHED Scenario 5,NA
M/L,WP,Dip (swim vat),Broadcast,"Animal (direct), livestock",lb ai/gallon,,gallons,3700,170,130,No Data,No Data,9.8,43,8.6,4.3,0.24,PHED,NA,PHED Scenario 4 / PHED Scenario 5,NA
M/L,L/SC/EC,Backpack,Broadcast,"Rights-of-way (e.g., utilities, railroad, roadways)",lb ai/gallon,1000,gallons,220,37.6,29.1,No Data,No Data,8.6,0.219,0.0438,0.0219,0.083,AHETF / PHED,47947802 / NA,"Klonne, 1999 (AHE1003; M/L Liquids) / PHED Scenario 6",D373605 / NA
M/L,L/SC/EC,Mechanically-pressurized Handgun,Broadcast,"Rights-of-way (e.g., utilities, railroad, roadways)",lb ai/gallon,1000,gallons,220,37.6,29.1,No Data,No Data,8.6,0.219,0.0438,0.0219,0.083,AHETF / PHED,47947802 / NA,"Klonne, 1999 (AHE1003; M/L Liquids) / PHED Scenario 6",D373605 / NA
M/L,L/SC/EC,Dip (swim vat),Broadcast,"Animal (direct), livestock",lb ai/gallon,,gallons,220,37.6,29.1,No Data,No Data,8.6,0.219,0.0438,0.0219,0.083,AHETF / PHED,47947802 / NA,"Klonne, 1999 (AHE1003; M/L Liquids) / PHED Scenario 6",D373605 / NA
M/L,DF/WDG,Backpack,Broadcast,"Rights-of-way (e.g., utilities, railroad, roadways)",lb ai/gallon,1000,gallons,227,51.6,41.2,No Data,No Data,9.8,8.96,1.792,0.896,0.24,AHETF / PHED,47947801 / NA,"Klonne, 1999 (AHE1001; M/L Dry Flowable) / PHED Scenario 5",D373605 / NA
M/L,DF/WDG,Mechanically-pressurized Handgun,Broadcast,"Rights-of-way (e.g., utilities, railroad, roadways)",lb ai/gallon,1000,gallons,227,51.6,41.2,No Data,No Data,9.8,8.96,1.792,0.896,0.24,AHETF / PHED,47947801 / NA,"Klonne, 1999 (AHE1001; M/L Dry Flowable) / PHED Scenario 5",D373605 / NA
M/L,DF/WDG,Dip (swim vat),Broadcast,"Animal (direct), livestock",lb ai/gallon,,gallons,227,51.6,41.2,No Data,No Data,9.8,8.96,1.792,0.896,0.24,AHETF / PHED,47947801 / NA,"Klonne, 1999 (AHE1001; M/L Dry Flowable) / PHED Scenario 5",D373605 / NA
M/L,DF/WDG,Aerial,Broadcast,"Field crop, high-acreage",lb ai/acre,1200,acres,227,51.6,41.2,No Data,No Data,9.8,8.96,1.792,0.896,0.24,AHETF / PHED,47947801 / NA,"Klonne, 1999 (AHE1001; M/L Dry Flowable) / PHED Scenario 5",D373605 / NA
M/L,DF/WDG,Aerial,Broadcast,Forestry,lb ai/acre,1200,acres,227,51.6,41.2,No Data,No Data,9.8,8.96,1.792,0.896,0.24,AHETF / PHED,47947801 / NA,"Klonne, 1999 (AHE1001; M/L Dry Flowable) / PHED Scenario 5",D373605 / NA
M/L,DF/WDG,Aerial,ULV / Wide-area,Forestry,lb ai/acre,7500,acres,227,51.6,41.2,No Data,No Data,9.8,8.96,1.792,0.896,0.24,AHETF / PHED,47947801 / NA,"Klonne, 1999 (AHE1001; M/L Dry Flowable) / PHED Scenario 5",D373605 / NA
M/L,DF/WDG,Aerial,ULV / Wide-area,Mosquitocide/larvacide/vector control (terrestrial areas) ,lb ai/acre,7500,acres,227,51.6,41.2,No Data,No Data,9.8,8.96,1.792,0.896,0.24,AHETF / PHED,47947801 / NA,"Klonne, 1999 (AHE1001; M/L Dry Flowable) / PHED Scenario 5",D373605 / NA
M/L,DF/WDG,Airblast,Broadcast,"Nursery (ornamentals, vegetables, trees, container stock)",lb ai/acre,20,acres,227,51.6,41.2,No Data,No Data,9.8,8.96,1.792,0.896,0.24,AHETF / PHED,47947801 / NA,"Klonne, 1999 (AHE1001; M/L Dry Flowable) / PHED Scenario 5",D373605 / NA
M/L,DF/WDG,Airblast,Broadcast,Orchard/Vineyard,lb ai/acre,40,acres,227,51.6,41.2,No Data,No Data,9.8,8.96,1.792,0.896,0.24,AHETF / PHED,47947801 / NA,"Klonne, 1999 (AHE1001; M/L Dry Flowable) / PHED Scenario 5",D373605 / NA
M/L,DF/WDG,Chemigation,Broadcast,Orchard/Vineyard,lb ai/acre,350,acres,227,51.6,41.2,No Data,No Data,9.8,8.96,1.792,0.896,0.24,AHETF / PHED,47947801 / NA,"Klonne, 1999 (AHE1001; M/L Dry Flowable) / PHED Scenario 5",D373605 / NA
M/L,DF/WDG,Chemigation,Broadcast,Sod,lb ai/acre,350,acres,227,51.6,41.2,No Data,No Data,9.8,8.96,1.792,0.896,0.24,AHETF / PHED,47947801 / NA,"Klonne, 1999 (AHE1001; M/L Dry Flowable) / PHED Scenario 5",D373605 / NA
M/L,DF/WDG,Chemigation,Broadcast,"Field crop, typical",lb ai/acre,350,acres,227,51.6,41.2,No Data,No Data,9.8,8.96,1.792,0.896,0.24,AHETF / PHED,47947801 / NA,"Klonne, 1999 (AHE1001; M/L Dry Flowable) / PHED Scenario 5",D373605 / NA
M/L,DF/WDG,Chemigation,Broadcast,"Field crop, high-acreage",lb ai/acre,350,acres,227,51.6,41.2,No Data,No Data,9.8,8.96,1.792,0.896,0.24,AHETF / PHED,47947801 / NA,"Klonne, 1999 (AHE1001; M/L Dry Flowable) / PHED Scenario 5",D373605 / NA
M/L,DF/WDG,Chemigation,Broadcast,"Greenhouse (ornamentals, roses, cut flowers, container stock, vegetables)",lb ai/acre,60,acres,227,51.6,41.2,No Data,No Data,9.8,8.96,1.792,0.896,0.24,AHETF / PHED,47947801 / NA,"Klonne, 1999 (AHE1001; M/L Dry Flowable) / PHED Scenario 5",D373605 / NA
M/L,DF/WDG,Chemigation,Broadcast,"Nursery (ornamentals, vegetables, trees, container stock)",lb ai/acre,60,acres,227,51.6,41.2,No Data,No Data,9.8,8.96,1.792,0.896,0.24,AHETF / PHED,47947801 / NA,"Klonne, 1999 (AHE1001; M/L Dry Flowable) / PHED Scenario 5",D373605 / NA
M/L,DF/WDG,Groundboom,Broadcast,Golf course (tees and greens only),lb ai/acre,5,acres,227,51.6,41.2,No Data,No Data,9.8,8.96,1.792,0.896,0.24,AHETF / PHED,47947801 / NA,"Klonne, 1999 (AHE1001; M/L Dry Flowable) / PHED Scenario 5",D373605 / NA
M/L,DF/WDG,Groundboom,Broadcast,"Golf course (fairways, tees, greens)",lb ai/acre,40,acres,227,51.6,41.2,No Data,No Data,9.8,8.96,1.792,0.896,0.24,AHETF / PHED,47947801 / NA,"Klonne, 1999 (AHE1001; M/L Dry Flowable) / PHED Scenario 5",D373605 / NA
M/L,DF/WDG,Groundboom,Broadcast,Field-grown ornamental crops,lb ai/acre,40,acres,227,51.6,41.2,No Data,No Data,9.8,8.96,1.792,0.896,0.24,AHETF / PHED,47947801 / NA,"Klonne, 1999 (AHE1001; M/L Dry Flowable) / PHED Scenario 5",D373605 / NA
M/L,DF/WDG,Groundboom,Broadcast,"Nursery (ornamentals, vegetables, trees, container stock)",lb ai/acre,60,acres,227,51.6,41.2,No Data,No Data,9.8,8.96,1.792,0.896,0.24,AHETF / PHED,47947801 / NA,"Klonne, 1999 (AHE1001; M/L Dry Flowable) / PHED Scenario 5",D373605 / NA
M/L,DF/WDG,Groundboom,Broadcast,"Greenhouse (ornamentals, roses, cut flowers, container stock, vegetables)",lb ai/acre,60,acres,227,51.6,41.2,No Data,No Data,9.8,8.96,1.792,0.896,0.24,AHETF / PHED,47947801 / NA,"Klonne, 1999 (AHE1001; M/L Dry Flowable) / PHED Scenario 5",D373605 / NA
M/L,DF/WDG,Groundboom,Broadcast,Sod,lb ai/acre,80,acres,227,51.6,41.2,No Data,No Data,9.8,8.96,1.792,0.896,0.24,AHETF / PHED,47947801 / NA,"Klonne, 1999 (AHE1001; M/L Dry Flowable) / PHED Scenario 5",D373605 / NA
M/L,DF/WDG,Groundboom,Broadcast,Orchard/Vineyard,lb ai/acre,40,acres,227,51.6,41.2,No Data,No Data,9.8,8.96,1.792,0.896,0.24,AHETF / PHED,47947801 / NA,"Klonne, 1999 (AHE1001; M/L Dry Flowable) / PHED Scenario 5",D373605 / NA
M/L,DF/WDG,Groundboom,Broadcast,"Field crop, typical",lb ai/acre,80,acres,227,51.6,41.2,No Data,No Data,9.8,8.96,1.792,0.896,0.24,AHETF / PHED,47947801 / NA,"Klonne, 1999 (AHE1001; M/L Dry Flowable) / PHED Scenario 5",D373605 / NA
M/L,DF/WDG,Boom Sprayer,Broadcast,Mosquitocide/larvacide/vector control (aquatic areas) ,lb ai/acre,30,acres,227,51.6,41.2,No Data,No Data,9.8,8.96,1.792,0.896,0.24,AHETF / PHED,47947801 / NA,"Klonne, 1999 (AHE1001; M/L Dry Flowable) / PHED Scenario 5",D373605 / NA
M/L,DF/WDG,Boom Sprayer,Broadcast,"Aquatic areas, non-flowing water (e.g., ponds, lakes, fountains)",lb ai/acre-foot,210,acre-feet,227,51.6,41.2,No Data,No Data,9.8,8.96,1.792,0.896,0.24,AHETF / PHED,47947801 / NA,"Klonne, 1999 (AHE1001; M/L Dry Flowable) / PHED Scenario 5",D373605 / NA
M/L,DF/WDG,Boom Sprayer,Broadcast,"Aquatic areas, flowing water (e.g., tributaries, canals)",lbs ai/cfs,200,cfs,227,51.6,41.2,No Data,No Data,9.8,8.96,1.792,0.896,0.24,AHETF / PHED,47947801 / NA,"Klonne, 1999 (AHE1001; M/L Dry Flowable) / PHED Scenario 5",D373605 / NA
M/L,DF/WDG,Groundboom,Broadcast,"Field crop, high-acreage",lb ai/acre,200,acres,227,51.6,41.2,No Data,No Data,9.8,8.96,1.792,0.896,0.24,AHETF / PHED,47947801 / NA,"Klonne, 1999 (AHE1001; M/L Dry Flowable) / PHED Scenario 5",D373605 / NA
M/L,DF/WDG,Stationary Fogger,Broadcast,Mushroom house,,,,227,51.6,41.2,No Data,No Data,9.8,8.96,1.792,0.896,0.24,AHETF / PHED,47947801 / NA,"Klonne, 1999 (AHE1001; M/L Dry Flowable) / PHED Scenario 5",D373605 / NA
M/L,DF/WDG,Stationary Fogger,Broadcast,"Greenhouse (ornamentals, roses, cut flowers, container stock, vegetables)",,,,227,51.6,41.2,No Data,No Data,9.8,8.96,1.792,0.896,0.24,AHETF / PHED,47947801 / NA,"Klonne, 1999 (AHE1001; M/L Dry Flowable) / PHED Scenario 5",D373605 / NA
M/L,DF/WDG,Stationary Fogger,Broadcast,Food handling establishment,,,,227,51.6,41.2,No Data,No Data,9.8,8.96,1.792,0.896,0.24,AHETF / PHED,47947801 / NA,"Klonne, 1999 (AHE1001; M/L Dry Flowable) / PHED Scenario 5",D373605 / NA
M/L,DF/WDG,Stationary Fogger,Broadcast,Poultry/livestock house/horse barn/feed lot,,,,227,51.6,41.2,No Data,No Data,9.8,8.96,1.792,0.896,0.24,AHETF / PHED,47947801 / NA,"Klonne, 1999 (AHE1001; M/L Dry Flowable) / PHED Scenario 5",D373605 / NA
M/L,G,Aerial,Broadcast,Orchard/Vineyard,lb ai/acre,350,acres,8.4,6.9,3.4,No Data,No Data,8.6,1.7,0.34,0.17,0.083,PHED,NA,PHED Scenario 2 / PHED Scenario 6,NA
M/L,G,Aerial,Broadcast,Sod,lb ai/acre,350,acres,8.4,6.9,3.4,No Data,No Data,8.6,1.7,0.34,0.17,0.083,PHED,NA,PHED Scenario 2 / PHED Scenario 6,NA
M/L,G,Aerial,Broadcast,"Field crop, typical",lb ai/acre,350,acres,8.4,6.9,3.4,No Data,No Data,8.6,1.7,0.34,0.17,0.083,PHED,NA,PHED Scenario 2 / PHED Scenario 6,NA
M/L,G,Aerial,Broadcast,Mosquitocide/larvacide/vector control (aquatic areas) ,lb ai/acre,250,acres,8.4,6.9,3.4,No Data,No Data,8.6,1.7,0.34,0.17,0.083,PHED,NA,PHED Scenario 2 / PHED Scenario 6,NA
M/L,G,Aerial,Broadcast,"Aquatic areas, non-flowing water (e.g., ponds, lakes, fountains)",lb ai/acre-foot,210,acre-feet,8.4,6.9,3.4,No Data,No Data,8.6,1.7,0.34,0.17,0.083,PHED,NA,PHED Scenario 2 / PHED Scenario 6,NA
M/L,G,Impregnation,Commercial treatment,"Fertilizer, dry bulk, impregnated",lb ai/ton,960,tons,No Data,No Data,No Data,No Data,No Data,8.6,No Data,No Data,No Data,0.083,PHED,NA,PHED Scenario 2 / PHED Scenario 6,NA
M/L,G,Impregnation,On-farm treatment,"Fertilizer, dry bulk, impregnated",lb ai/acre,160,acres,8.4,6.9,3.4,No Data,No Data,8.6,1.7,0.34,0.17,0.083,PHED,NA,PHED Scenario 2 / PHED Scenario 6,NA
M/L,G,Aerial,Broadcast,"Field crop, high-acreage",lb ai/acre,1200,acres,8.4,6.9,3.4,No Data,No Data,8.6,1.7,0.34,0.17,0.083,PHED,NA,PHED Scenario 2 / PHED Scenario 6,NA
M/L,G,Aerial,Broadcast,Forestry,lb ai/acre,1200,acres,8.4,6.9,3.4,No Data,No Data,8.6,1.7,0.34,0.17,0.083,PHED,NA,PHED Scenario 2 / PHED Scenario 6,NA
M/L,G,Aerial,Broadcast,"Nursery (ornamentals, vegetables, trees, container stock)",lb ai/acre,60,acres,8.4,6.9,3.4,No Data,No Data,8.6,1.7,0.34,0.17,0.083,PHED,NA,PHED Scenario 2 / PHED Scenario 6,NA
M/L,G,Tractor-drawn Spreader,Broadcast,Field-grown ornamental crops,lb ai/acre,40,acres,8.4,6.9,3.4,No Data,No Data,8.6,1.7,0.34,0.17,0.083,PHED,NA,PHED Scenario 2 / PHED Scenario 6,NA
M/L,G,Tractor-drawn Spreader,Broadcast,"Golf course (fairways, tees, greens)",lb ai/acre,40,acres,8.4,6.9,3.4,No Data,No Data,8.6,1.7,0.34,0.17,0.083,PHED,NA,PHED Scenario 2 / PHED Scenario 6,NA
M/L,G,Tractor-drawn Spreader,Broadcast,Golf course (tees and greens only),lb ai/acre,5,acres,8.4,6.9,3.4,No Data,No Data,8.6,1.7,0.34,0.17,0.083,PHED,NA,PHED Scenario 2 / PHED Scenario 6,NA
M/L,G,Tractor-drawn Spreader,Broadcast,Sod,lb ai/acre,80,acres,8.4,6.9,3.4,No Data,No Data,8.6,1.7,0.34,0.17,0.083,PHED,NA,PHED Scenario 2 / PHED Scenario 6,NA
M/L,G,Tractor-drawn Spreader,Broadcast,"Field crop, typical",lb ai/acre,80,acres,8.4,6.9,3.4,No Data,No Data,8.6,1.7,0.34,0.17,0.083,PHED,NA,PHED Scenario 2 / PHED Scenario 6,NA
M/L,G,Solid Spreader,Broadcast,Mosquitocide/larvacide/vector control (aquatic areas) ,lb ai/acre,30,acres,8.4,6.9,3.4,No Data,No Data,8.6,1.7,0.34,0.17,0.083,PHED,NA,PHED Scenario 2 / PHED Scenario 6,NA
M/L,G,Solid Spreader,Broadcast,"Aquatic areas, non-flowing water (e.g., ponds, lakes, fountains)",lb ai/acre-foot,210,acre-feet,8.4,6.9,3.4,No Data,No Data,8.6,1.7,0.34,0.17,0.083,PHED,NA,PHED Scenario 2 / PHED Scenario 6,NA
M/L,G,Solid Spreader,Broadcast,"Aquatic areas, flowing water (e.g., tributaries, canals)",lbs ai/cfs,200,cfs,8.4,6.9,3.4,No Data,No Data,8.6,1.7,0.34,0.17,0.083,PHED,NA,PHED Scenario 2 / PHED Scenario 6,NA
M/L,G,Tractor-drawn Spreader,Broadcast,"Field crop, high-acreage",lb ai/acre,200,acres,8.4,6.9,3.4,No Data,No Data,8.6,1.7,0.34,0.17,0.083,PHED,NA,PHED Scenario 2 / PHED Scenario 6,NA
M/L,G,Tractor-drawn Spreader,Broadcast,"Nursery (ornamentals, vegetables, trees, container stock)",lb ai/acre,60,acres,8.4,6.9,3.4,No Data,No Data,8.6,1.7,0.34,0.17,0.083,PHED,NA,PHED Scenario 2 / PHED Scenario 6,NA
M/L,G,Tractor-drawn Spreader,Broadcast,"Greenhouse (ornamentals, roses, cut flowers, container stock, vegetables)",lb ai/acre,60,acres,8.4,6.9,3.4,No Data,No Data,8.6,1.7,0.34,0.17,0.083,PHED,NA,PHED Scenario 2 / PHED Scenario 6,NA
M/L,L/SC/EC,Aerial,Broadcast,"Nursery (ornamentals, vegetables, trees, container stock)",lb ai/acre,60,acres,220,37.6,29.1,No Data,No Data,8.6,0.219,0.0438,0.0219,0.083,AHETF / PHED,47947802 / NA,"Klonne, 1999 (AHE1003; M/L Liquids) / PHED Scenario 6",D373605 / NA
M/L,L/SC/EC,Aerial,Broadcast,Orchard/Vineyard,lb ai/acre,350,acres,220,37.6,29.1,No Data,No Data,8.6,0.219,0.0438,0.0219,0.083,AHETF / PHED,47947802 / NA,"Klonne, 1999 (AHE1003; M/L Liquids) / PHED Scenario 6",D373605 / NA
M/L,L/SC/EC,Aerial,Broadcast,Sod,lb ai/acre,350,acres,220,37.6,29.1,No Data,No Data,8.6,0.219,0.0438,0.0219,0.083,AHETF / PHED,47947802 / NA,"Klonne, 1999 (AHE1003; M/L Liquids) / PHED Scenario 6",D373605 / NA
M/L,L/SC/EC,Aerial,Broadcast,"Field crop, typical",lb ai/acre,350,acres,220,37.6,29.1,No Data,No Data,8.6,0.219,0.0438,0.0219,0.083,AHETF / PHED,47947802 / NA,"Klonne, 1999 (AHE1003; M/L Liquids) / PHED Scenario 6",D373605 / NA
M/L,L/SC/EC,Aerial,Broadcast,Mosquitocide/larvacide/vector control (aquatic areas) ,lb ai/acre,250,acres,220,37.6,29.1,No Data,No Data,8.6,0.219,0.0438,0.0219,0.083,AHETF / PHED,47947802 / NA,"Klonne, 1999 (AHE1003; M/L Liquids) / PHED Scenario 6",D373605 / NA
M/L,L/SC/EC,Aerial,Broadcast,"Aquatic areas, non-flowing water (e.g., ponds, lakes, fountains)",lb ai/acre-foot,210,acre-feet,220,37.6,29.1,No Data,No Data,8.6,0.219,0.0438,0.0219,0.083,AHETF / PHED,47947802 / NA,"Klonne, 1999 (AHE1003; M/L Liquids) / PHED Scenario 6",D373605 / NA
M/L,L/SC/EC,Impregnation,Commercial treatment,"Fertilizer, dry bulk, impregnated",lb ai/ton,960,tons,No Data,No Data,No Data,No Data,No Data,8.6,No Data,No Data,No Data,0.083,AHETF / PHED,47947802 / NA,"Klonne, 1999 (AHE1003; M/L Liquids) / PHED Scenario 6",D373605 / NA
M/L,L/SC/EC,Impregnation,On-farm treatment,"Fertilizer, dry bulk, impregnated",lb ai/acre,160,acres,220,37.6,29.1,No Data,No Data,8.6,0.219,0.0438,0.0219,0.083,AHETF / PHED,47947802 / NA,"Klonne, 1999 (AHE1003; M/L Liquids) / PHED Scenario 6",D373605 / NA
M/L,L/SC/EC,Aerial,Broadcast,"Field crop, high-acreage",lb ai/acre,1200,acres,220,37.6,29.1,No Data,No Data,8.6,0.219,0.0438,0.0219,0.083,AHETF / PHED,47947802 / NA,"Klonne, 1999 (AHE1003; M/L Liquids) / PHED Scenario 6",D373605 / NA
M/L,L/SC/EC,Aerial,Broadcast,Forestry,lb ai/acre,1200,acres,220,37.6,29.1,No Data,No Data,8.6,0.219,0.0438,0.0219,0.083,AHETF / PHED,47947802 / NA,"Klonne, 1999 (AHE1003; M/L Liquids) / PHED Scenario 6",D373605 / NA
M/L,L/SC/EC,Injector,Tree Injection,"Landscaping, trees/shrubs/bushes",lb ai/tree,,trees,220,37.6,29.1,No Data,No Data,8.6,0.219,0.0438,0.0219,0.083,AHETF / PHED,47947802 / NA,"Klonne, 1999 (AHE1003; M/L Liquids) / PHED Scenario 6",D373605 / NA
M/L,L/SC/EC,Injector,Tree Injection,"Nursery (ornamentals, vegetables, trees, container stock)",lb ai/tree,,trees,220,37.6,29.1,No Data,No Data,8.6,0.219,0.0438,0.0219,0.083,AHETF / PHED,47947802 / NA,"Klonne, 1999 (AHE1003; M/L Liquids) / PHED Scenario 6",D373605 / NA
M/L,L/SC/EC,Injector,Tree Injection,"Rights-of-way (e.g., utilities, railroad, roadways)",lb ai/tree,,trees,220,37.6,29.1,No Data,No Data,8.6,0.219,0.0438,0.0219,0.083,AHETF / PHED,47947802 / NA,"Klonne, 1999 (AHE1003; M/L Liquids) / PHED Scenario 6",D373605 / NA
M/L,L/SC/EC,Injector,Tree Injection,Forestry,lb ai/tree,,trees,220,37.6,29.1,No Data,No Data,8.6,0.219,0.0438,0.0219,0.083,AHETF / PHED,47947802 / NA,"Klonne, 1999 (AHE1003; M/L Liquids) / PHED Scenario 6",D373605 / NA
M/L,L/SC/EC,Aerial,ULV / Wide-area,Forestry,lb ai/acre,7500,acres,220,37.6,29.1,No Data,No Data,8.6,0.219,0.0438,0.0219,0.083,AHETF / PHED,47947802 / NA,"Klonne, 1999 (AHE1003; M/L Liquids) / PHED Scenario 6",D373605 / NA
M/L,L/SC/EC,Aerial,ULV / Wide-area,Mosquitocide/larvacide/vector control (terrestrial areas) ,lb ai/acre,7500,acres,220,37.6,29.1,No Data,No Data,8.6,0.219,0.0438,0.0219,0.083,AHETF / PHED,47947802 / NA,"Klonne, 1999 (AHE1003; M/L Liquids) / PHED Scenario 6",D373605 / NA
M/L,L/SC/EC,Airblast,Broadcast,"Nursery (ornamentals, vegetables, trees, container stock)",lb ai/acre,20,acres,220,37.6,29.1,No Data,No Data,8.6,0.219,0.0438,0.0219,0.083,AHETF / PHED,47947802 / NA,"Klonne, 1999 (AHE1003; M/L Liquids) / PHED Scenario 6",D373605 / NA
M/L,L/SC/EC,Airblast,Broadcast,Orchard/Vineyard,lb ai/acre,40,acres,220,37.6,29.1,No Data,No Data,8.6,0.219,0.0438,0.0219,0.083,AHETF / PHED,47947802 / NA,"Klonne, 1999 (AHE1003; M/L Liquids) / PHED Scenario 6",D373605 / NA
M/L,L/SC/EC,Chemigation,Broadcast,Orchard/Vineyard,lb ai/acre,350,acres,220,37.6,29.1,No Data,No Data,8.6,0.219,0.0438,0.0219,0.083,AHETF / PHED,47947802 / NA,"Klonne, 1999 (AHE1003; M/L Liquids) / PHED Scenario 6",D373605 / NA
M/L,L/SC/EC,Chemigation,Broadcast,Sod,lb ai/acre,350,acres,220,37.6,29.1,No Data,No Data,8.6,0.219,0.0438,0.0219,0.083,AHETF / PHED,47947802 / NA,"Klonne, 1999 (AHE1003; M/L Liquids) / PHED Scenario 6",D373605 / NA
M/L,L/SC/EC,Chemigation,Broadcast,"Field crop, typical",lb ai/acre,350,acres,220,37.6,29.1,No Data,No Data,8.6,0.219,0.0438,0.0219,0.083,AHETF / PHED,47947802 / NA,"Klonne, 1999 (AHE1003; M/L Liquids) / PHED Scenario 6",D373605 / NA
M/L,L/SC/EC,Chemigation,Broadcast,"Field crop, high-acreage",lb ai/acre,350,acres,220,37.6,29.1,No Data,No Data,8.6,0.219,0.0438,0.0219,0.083,AHETF / PHED,47947802 / NA,"Klonne, 1999 (AHE1003; M/L Liquids) / PHED Scenario 6",D373605 / NA
M/L,L/SC/EC,Chemigation,Broadcast,"Greenhouse (ornamentals, roses, cut flowers, container stock, vegetables)",lb ai/acre,60,acres,220,37.6,29.1,No Data,No Data,8.6,0.219,0.0438,0.0219,0.083,AHETF / PHED,47947802 / NA,"Klonne, 1999 (AHE1003; M/L Liquids) / PHED Scenario 6",D373605 / NA
M/L,L/SC/EC,Chemigation,Broadcast,"Nursery (ornamentals, vegetables, trees, container stock)",lb ai/acre,60,acres,220,37.6,29.1,No Data,No Data,8.6,0.219,0.0438,0.0219,0.083,AHETF / PHED,47947802 / NA,"Klonne, 1999 (AHE1003; M/L Liquids) / PHED Scenario 6",D373605 / NA
M/L,L/SC/EC,Groundboom,Broadcast,Golf course (tees and greens only),lb ai/acre,5,acres,220,37.6,29.1,No Data,No Data,8.6,0.219,0.0438,0.0219,0.083,AHETF / PHED,47947802 / NA,"Klonne, 1999 (AHE1003; M/L Liquids) / PHED Scenario 6",D373605 / NA
